date,vacation
2004-01-01,97
2004-02-01,90
2004-03-01,88
2004-04-01,81
2004-05-01,88
2004-06-01,94
2004-07-01,97
2004-08-01,79
2004-09-01,62
2004-10-01,58
2004-11-01,64
2004-12-01,68
2005-01-01,100
2005-02-01,95
2005-03-01,95
2005-04-01,80
2005-05-01,82
2005-06-01,93
2005-07-01,94
2005-08-01,79
2005-09-01,52
2005-10-01,54
2005-11-01,58
2005-12-01,60
2006-01-01,89
2006-02-01,80
2006-03-01,79
2006-04-01,72
2006-05-01,74
2006-06-01,87
2006-07-01,86
2006-08-01,69
2006-09-01,55
2006-10-01,53
2006-11-01,54
2006-12-01,60
2007-01-01,88
2007-02-01,80
2007-03-01,81
2007-04-01,74
2007-05-01,78
2007-06-01,89
2007-07-01,89
2007-08-01,69
2007-09-01,54
2007-10-01,54
2007-11-01,50
2007-12-01,56
2008-01-01,84
2008-02-01,78
2008-03-01,75
2008-04-01,69
2008-05-01,71
2008-06-01,82
2008-07-01,79
2008-08-01,64
2008-09-01,47
2008-10-01,45
2008-11-01,48
2008-12-01,53
2009-01-01,75
2009-02-01,68
2009-03-01,68
2009-04-01,62
2009-05-01,67
2009-06-01,80
2009-07-01,78
2009-08-01,65
2009-09-01,48
2009-10-01,46
2009-11-01,47
2009-12-01,55
2010-01-01,76
2010-02-01,70
2010-03-01,68
2010-04-01,61
2010-05-01,66
2010-06-01,79
2010-07-01,68
2010-08-01,53
2010-09-01,40
2010-10-01,37
2010-11-01,40
2010-12-01,45
2011-01-01,69
2011-02-01,66
2011-03-01,61
2011-04-01,56
2011-05-01,62
2011-06-01,74
2011-07-01,70
2011-08-01,59
2011-09-01,41
2011-10-01,39
2011-11-01,40
2011-12-01,49
2012-01-01,64
2012-02-01,57
2012-03-01,58
2012-04-01,52
2012-05-01,55
2012-06-01,67
2012-07-01,62
2012-08-01,48
2012-09-01,38
2012-10-01,34
2012-11-01,36
2012-12-01,47
2013-01-01,59
2013-02-01,55
2013-03-01,55
2013-04-01,49
2013-05-01,52
2013-06-01,62
2013-07-01,62
2013-08-01,49
2013-09-01,38
2013-10-01,37
2013-11-01,38
2013-12-01,49
2014-01-01,59
2014-02-01,53
2014-03-01,57
2014-04-01,49
2014-05-01,52
2014-06-01,64
2014-07-01,62
2014-08-01,50
2014-09-01,39
2014-10-01,36
2014-11-01,37
2014-12-01,53
2015-01-01,58
2015-02-01,54
2015-03-01,54
2015-04-01,48
2015-05-01,54
2015-06-01,63
2015-07-01,75
2015-08-01,67
2015-09-01,43
2015-10-01,39
2015-11-01,43
2015-12-01,54
2016-01-01,60
2016-02-01,54
2016-03-01,57
2016-04-01,52
2016-05-01,54
2016-06-01,66
2016-07-01,62
2016-08-01,51
2016-09-01,39
2016-10-01,38
2016-11-01,40
2016-12-01,55
2017-01-01,59
2017-02-01,53
2017-03-01,54
2017-04-01,50
2017-05-01,54
2017-06-01,63
2017-07-01,64
2017-08-01,50
2017-09-01,38
2017-10-01,37
2017-11-01,40
2017-12-01,55
2018-01-01,55
2018-02-01,54
2018-03-01,52
2018-04-01,56
2018-05-01,52
2018-06-01,63
2018-07-01,62
2018-08-01,48
2018-09-01,38
2018-10-01,37
2018-11-01,40
2018-12-01,54
2019-01-01,54
2019-02-01,50
2019-03-01,50
2019-04-01,45
2019-05-01,48
2019-06-01,57
2019-07-01,55
2019-08-01,45
2019-09-01,38
2019-10-01,37
2019-11-01,41
2019-12-01,62
2020-01-01,55
2020-02-01,51
2020-03-01,34
2020-04-01,26
2020-05-01,41
2020-06-01,54
2020-07-01,48
2020-08-01,43
2020-09-01,36
2020-10-01,34
2020-11-01,38
2020-12-01,55
